Date,Date Processed,Description,Amount
14 Jul 2024,15 Jul 2024,NEURONCA* TRIP-9V       VANCOUVER,11.13
14 Jul 2024,14 Jul 2024,NEURONCA* TRIP-VN       VANCOUVER,22.31
14 Jul 2024,14 Jul 2024,THIS IS BLUEPRINT MANAG Vancouver,15.69
12 Jul 2024,13 Jul 2024,ACE LIQUOR SPRINGBAN    CALGARY,20.29
11 Jul 2024,12 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
11 Jul 2024,12 Jul 2024,DONAIR AFFAIR 00-080405 SURREY,6.24
11 Jul 2024,12 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,4.99
10 Jul 2024,11 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
10 Jul 2024,10 Jul 2024,DISNEY PLUS RECURRING   BURBANK,13.43
10 Jul 2024,10 Jul 2024,DOORDASHDASHPASS        DOWNTOWN TORONT,10.49
10 Jul 2024,11 Jul 2024,E FOOD INC. 407149123   VANCOUVER,24.25
10 Jul 2024,10 Jul 2024,ROGERS ******1406       888-764-3771,11.59
10 Jul 2024,11 Jul 2024,SHOPPERS DRUG MART #227 VANCOUVER,24.26
10 Jul 2024,11 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,19.37
09 Jul 2024,09 Jul 2024,AMZN MKTP CA*RY5YS8050  WWW.AMAZON.CA,26.01
09 Jul 2024,10 Jul 2024,AMZN MKTP CA*RY9TV93D1  WWW.AMAZON.CA,38.50
09 Jul 2024,10 Jul 2024,BURLY BARBER INC. 001   VANCOUVER,34.69
09 Jul 2024,10 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
09 Jul 2024,10 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
09 Jul 2024,10 Jul 2024,E FOOD INC. 407149123   VANCOUVER,18.48
09 Jul 2024,10 Jul 2024,FABLE DINER & BAR       VANCOUVER,46.00
09 Jul 2024,10 Jul 2024,SEYMOUR PHARMACY        VANCOUVER,17.84
09 Jul 2024,10 Jul 2024,VAPE MASTER 001         VANCOUVER,28.74
08 Jul 2024,08 Jul 2024,AMZN MKTP CA*R76FX4IS2  WWW.AMAZON.CA,16.79
08 Jul 2024,09 Jul 2024,AMZN MKTP CA*RY2YP8O52  WWW.AMAZON.CA,22.37
08 Jul 2024,08 Jul 2024,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,29.40
08 Jul 2024,09 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
08 Jul 2024,09 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
08 Jul 2024,09 Jul 2024,LULULEMON #00110        VANCOUVER,65.41
08 Jul 2024,09 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,21.56
08 Jul 2024,09 Jul 2024,WHOLE FOODS MARKET      VANCOUVER,38.49
07 Jul 2024,08 Jul 2024,AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,5.59
07 Jul 2024,08 Jul 2024,"BCF - SURREY, QUEEN OF  VICTORIA",3.35
05 Jul 2024,06 Jul 2024,"BCF - COQUITLAM, QUEEN  VICTORIA",3.35
05 Jul 2024,06 Jul 2024,BCF-HSB SELF SERVE TIC  WEST VANCOUVER,15.15
04 Jul 2024,04 Jul 2024,AMAZON.CA*R721A7610     AMAZON.CA,87.99
04 Jul 2024,06 Jul 2024,PLAYSTATION NETWORK     877-971-7669,13.43
04 Jul 2024,05 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,20.95
04 Jul 2024,04 Jul 2024,UBER TRIP               HTTPS://HELP.UB,34.21
03 Jul 2024,04 Jul 2024,7251118 - CANAL MARKET  OTTAWA,11.29
03 Jul 2024,04 Jul 2024,ABC*803-GOLDS GYM       VANCOUVER,18.89
03 Jul 2024,03 Jul 2024,APPLE.COM/BILL          TORONTO,4.47
03 Jul 2024,04 Jul 2024,BISTROT INT             DORVAL,5.62
02 Jul 2024,03 Jul 2024,AIRCANADA               WINNIPEG,36.75
02 Jul 2024,03 Jul 2024,ALIMENTATION KHALID AZZ MONTREAL,7.29
02 Jul 2024,02 Jul 2024,APPLE.COM/BILL          TORONTO,6.71
02 Jul 2024,03 Jul 2024,BIXI Montreal           MONTREAL,5.98
02 Jul 2024,03 Jul 2024,KRISPY KREME CAFE 324   MONTREAL,11.10
02 Jul 2024,02 Jul 2024,UNIQLO CANADA           TORONTO,19.06
01 Jul 2024,02 Jul 2024,BIXI Montreal           MONTREAL,1.55
01 Jul 2024,01 Jul 2024,MEJURI.COM              DOWNTOWN TORONT,250.00
30 Jun 2024,01 Jul 2024,BOULANGERIE MODERNE BOU MONTREAL,26.53
