Date,Date Processed,Description,Amount
16 Oct 2024,16 Oct 2024,AMAZON.CA               WWW.AMAZON.CA,7.00
16 Oct 2024,17 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
16 Oct 2024,17 Oct 2024,CRAVE                   TORONTO,24.64
16 Oct 2024,18 Oct 2024,SAFEWAY #4942 VANCOUVER VANCOUVER,13.64
15 Oct 2024,16 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
15 Oct 2024,16 Oct 2024,E FOOD INC. 407149123   VANCOUVER,20.79
15 Oct 2024,15 Oct 2024,EVO CAR SHARE           BURNABY,9.08
15 Oct 2024,15 Oct 2024,THIERRY CHOCOLATES - MT Vancouver,14.43
14 Oct 2024,16 Oct 2024,=ANHANDCHI 001          VANCOUVER,40.32
14 Oct 2024,14 Oct 2024,AMZN MKTP CA*3B7S05J63  WWW.AMAZON.CA,147.73
14 Oct 2024,14 Oct 2024,AMZN MKTP CA*HO88B9UI3  WWW.AMAZON.CA,43.77
14 Oct 2024,15 Oct 2024,THE ARTONA GROUP INC.   VANCOUVER,93.62
13 Oct 2024,14 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,12.96
12 Oct 2024,12 Oct 2024,EVO CAR SHARE           BURNABY,5.24
12 Oct 2024,12 Oct 2024,EVO CAR SHARE           BURNABY,6.34
11 Oct 2024,12 Oct 2024,HARAMBE RESTAURANT(ETHI VANCOUVER,33.15
11 Oct 2024,11 Oct 2024,THE CIDER HOUSE - RESTA Vancouver,45.11
10 Oct 2024,10 Oct 2024,DOORDASHDASHPASS        DOWNTOWN TORONT,10.49
10 Oct 2024,10 Oct 2024,PINTOR BARBER           BRITISH COLUMBI,59.07
10 Oct 2024,10 Oct 2024,ROGERS ******1406       888-764-3771,60.64
10 Oct 2024,11 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,16.60
09 Oct 2024,10 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
09 Oct 2024,10 Oct 2024,LONDON DRUGS #90        VANCOUVER,21.25
09 Oct 2024,10 Oct 2024,OSAKA SUSHI 00-08033345 VANCOUVER,24.15
08 Oct 2024,09 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
08 Oct 2024,09 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
08 Oct 2024,09 Oct 2024,E FOOD INC. 407149123   VANCOUVER,18.11
07 Oct 2024,08 Oct 2024,AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,5.59
07 Oct 2024,08 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
07 Oct 2024,07 Oct 2024,KITS                    VANCOUVER,-9.95
07 Oct 2024,08 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,38.96
05 Oct 2024,06 Oct 2024,=BEANAROUNDTHEWORLD 001 VANCOUVER,27.72
05 Oct 2024,05 Oct 2024,KITS                    VANCOUVER,67.95
04 Oct 2024,05 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
04 Oct 2024,05 Oct 2024,E FOOD INC. 407149123   VANCOUVER,18.48
04 Oct 2024,04 Oct 2024,EVO CAR SHARE           BURNABY,14.02
04 Oct 2024,05 Oct 2024,SIEGEL'S BAGELS 4111278 VANCOUVER,16.12
03 Oct 2024,03 Oct 2024,APPLE.COM/BILL          TORONTO,4.47
03 Oct 2024,03 Oct 2024,EVO CAR SHARE           BURNABY,8.53
03 Oct 2024,03 Oct 2024,EVO CAR SHARE           BURNABY,15.12
02 Oct 2024,02 Oct 2024,APPLE.COM/BILL          TORONTO,6.71
02 Oct 2024,03 Oct 2024,PURE INTEGRATIVE PHARMA VANCOUVER,47.22
02 Oct 2024,03 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,42.27
01 Oct 2024,02 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
01 Oct 2024,02 Oct 2024,COMPASS VENDING BURN    BURNABY,3.20
01 Oct 2024,01 Oct 2024,EVO CAR SHARE           BURNABY,21.55
30 Sep 2024,30 Sep 2024,EVO CAR SHARE           BURNABY,7.44
30 Sep 2024,01 Oct 2024,EVO CAR SHARE           BURNABY,16.22
29 Sep 2024,30 Sep 2024,TOP TEN PRODUCE (2001)  VANCOUVER,32.35
28 Sep 2024,29 Sep 2024,BLARNEY STONE IRISH T   VANCOUVER,32.67
28 Sep 2024,29 Sep 2024,DOORDASHPAPPAROTI       DOWNTOWN TORONT,22.76
27 Sep 2024,29 Sep 2024,GRETA BAR YVR           VANCOUVER,15.00
