Date,Date Processed,Description,Amount
18 Aug 2024,18 Aug 2024,PAYMENT RECEIVED - THANK YOU,-2184.44
17 Aug 2024,17 Aug 2024,AMAZON.CA               WWW.AMAZON.CA,7.00
17 Aug 2024,18 Aug 2024,EVO CAR SHARE           BURNABY,7.44
17 Aug 2024,18 Aug 2024,MCDONALD'S #40180  Q04  VANCOUVER,26.08
17 Aug 2024,18 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,10.98
16 Aug 2024,17 Aug 2024,CRAVE                   TORONTO,24.64
16 Aug 2024,16 Aug 2024,EVO CAR SHARE           BURNABY,5.79
16 Aug 2024,16 Aug 2024,EVO CAR SHARE           BURNABY,7.99
16 Aug 2024,17 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,7.85
15 Aug 2024,16 Aug 2024,CHERRY PICK VINTAGE 001 LANGLEY,202.65
15 Aug 2024,15 Aug 2024,LULULEMON #00110        VANCOUVER,-0.01
15 Aug 2024,16 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,4.62
14 Aug 2024,14 Aug 2024,EVO CAR SHARE           BURNABY,11.83
14 Aug 2024,14 Aug 2024,MOBI BY ROGERS          VANCOUVER,11.23
14 Aug 2024,15 Aug 2024,WHOLE FOODS MARKET      VANCOUVER,54.21
13 Aug 2024,14 Aug 2024,BREKA BAKERY & CAFE 411 VANCOUVER,36.35
13 Aug 2024,14 Aug 2024,SEYMOUR PHARMACY        VANCOUVER,17.84
13 Aug 2024,15 Aug 2024,SHELL C01205            VANCOUVER,8.05
12 Aug 2024,12 Aug 2024,#B33R                   Vancouver,21.89
12 Aug 2024,12 Aug 2024,33 BREWING EXPERIMENT   Vancouver,14.93
12 Aug 2024,12 Aug 2024,MOBI BY ROGERS          VANCOUVER,7.25
12 Aug 2024,13 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,12.32
11 Aug 2024,11 Aug 2024,EVO CAR SHARE           BURNABY,12.92
11 Aug 2024,11 Aug 2024,LULULEMONCOM            877-263-9300,62.95
11 Aug 2024,13 Aug 2024,MCDONALD'S #40227       VANCOUVER,12.76
11 Aug 2024,12 Aug 2024,THE ROXY 411476124      VANCOUVER,20.70
11 Aug 2024,13 Aug 2024,TV DINNER FOOD MARKET 0 VANCOUVER,4.01
10 Aug 2024,10 Aug 2024,DOORDASHDASHPASS        DOWNTOWN TORONT,10.49
10 Aug 2024,11 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,3.14
09 Aug 2024,10 Aug 2024,BURLY BARBER INC. 001   VANCOUVER,34.69
09 Aug 2024,10 Aug 2024,E FOOD INC. 407149123   VANCOUVER,19.32
09 Aug 2024,10 Aug 2024,ELIANES 001             VANCOUVER,44.80
09 Aug 2024,09 Aug 2024,EVO CAR SHARE           BURNABY,9.63
09 Aug 2024,10 Aug 2024,LULULEMONCOM            877-263-9300,43.90
09 Aug 2024,09 Aug 2024,ROGERS ******1406       888-764-3771,60.64
08 Aug 2024,08 Aug 2024,DIRECT THEATRE COLLECTI RICHMOND,21.00
08 Aug 2024,09 Aug 2024,IGA 039                 VANCOUVER,14.99
08 Aug 2024,09 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,5.94
07 Aug 2024,08 Aug 2024,AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,5.59
06 Aug 2024,06 Aug 2024,RAIN OR SHINE HOMEMADE  Vancouver,6.04
06 Aug 2024,07 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,4.24
05 Aug 2024,06 Aug 2024,DOORDASHLOBLAWSCITY     DOWNTOWN TORONT,4.31
05 Aug 2024,06 Aug 2024,DOORDASHLOBLAWSCITY     DOWNTOWN TORONT,168.06
05 Aug 2024,05 Aug 2024,EVO CAR SHARE           BURNABY,14.57
05 Aug 2024,06 Aug 2024,EVO CAR SHARE           BURNABY,18.41
05 Aug 2024,05 Aug 2024,EVO CAR SHARE           BURNABY,21.55
05 Aug 2024,07 Aug 2024,RAMEN DANBO KITSILANO 0 VANCOUVER,31.47
05 Aug 2024,06 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,4.19
05 Aug 2024,06 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,23.77
04 Aug 2024,04 Aug 2024,EVO CAR SHARE           BURNABY,12.38
03 Aug 2024,04 Aug 2024,APPLE.COM/BILL          TORONTO,4.47
03 Aug 2024,03 Aug 2024,EVO CAR SHARE           BURNABY,12.92
03 Aug 2024,04 Aug 2024,EVO CAR SHARE           BURNABY,13.47
03 Aug 2024,04 Aug 2024,EVO CAR SHARE           BURNABY,14.57
03 Aug 2024,03 Aug 2024,FLOURIST MILLING INC.   Vancouver,19.32
03 Aug 2024,04 Aug 2024,MEJURI.COM              DOWNTOWN TORONT,200.00
02 Aug 2024,02 Aug 2024,APPLE.COM/BILL          TORONTO,6.71
02 Aug 2024,03 Aug 2024,THE NEW PENTHOUSE 41156 VANCOUVER,18.88
02 Aug 2024,03 Aug 2024,THE NEW PENTHOUSE 41156 VANCOUVER,26.40
02 Aug 2024,03 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,34.27
01 Aug 2024,01 Aug 2024,EVO CAR SHARE           BURNABY,10.73
01 Aug 2024,01 Aug 2024,EVO CAR SHARE           BURNABY,15.12
01 Aug 2024,02 Aug 2024,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,31.78
01 Aug 2024,03 Aug 2024,TELEFLORACOM PICKS RCV  LOS ANGELES,83.96
01 Aug 2024,02 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,27.51
31 Jul 2024,01 Aug 2024,ABC*803-GOLDS GYM       VANCOUVER,59.84
29 Jul 2024,30 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
29 Jul 2024,30 Jul 2024,COMPASS WEB             BURNABY,107.30
29 Jul 2024,29 Jul 2024,EVO CAR SHARE           BURNABY,11.28
29 Jul 2024,29 Jul 2024,EVO CAR SHARE           BURNABY,14.02
28 Jul 2024,29 Jul 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,2.71
28 Jul 2024,29 Jul 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,91.45
28 Jul 2024,29 Jul 2024,EVO CAR SHARE           BURNABY,21.16
28 Jul 2024,29 Jul 2024,FAMOUS PLAYER #1422QP   VANCOUVER,8.66
28 Jul 2024,30 Jul 2024,SAFEWAY #4901 VANCOUVER VANCOUVER,44.11
26 Jul 2024,30 Jul 2024,MCDONALD'S #10429       SQUAMISH,5.70
